epoch	train_loss	train_acc	dev_acc
0.1	2.129	0.0	0.0
0.2	1.608	0.0	0.0
0.3	1.515	0.0	0.0
0.4	1.377	0.0	0.0
0.5	1.314	0.0	0.0
0.6	1.264	0.0	0.1
0.7	1.21	0.0	0.0
0.8	1.201	0.0	0.0
0.9	1.168	0.0	0.0
1.0	1.162	0.1	0.0
1.1	1.092	0.2	0.1
1.2	1.101	0.1	0.1
1.3	1.079	0.4	0.4
1.4	1.051	0.2	0.1
1.5	1.018	0.0	0.4
1.6	1.002	0.5	0.3
1.7	0.993	0.3	0.0
1.8	0.971	0.7	0.4
1.9	0.959	0.2	0.2
2.0	0.938	0.6	0.2
2.1	0.869	0.5	0.4
2.2	0.86	0.9	0.5
2.3	0.859	1.2	1.0
2.4	0.875	1.7	0.5
2.5	0.843	1.9	0.8
2.6	0.838	1.6	1.2
2.7	0.866	1.5	1.2
2.8	0.812	2.1	1.4
2.9	0.817	2.0	1.1
3.0	0.795	2.8	1.1
3.1	0.717	2.4	1.5
3.2	0.709	4.3	2.4
3.3	0.692	4.5	1.9
3.4	0.675	5.9	2.3
3.5	0.686	5.6	2.8
3.6	0.674	5.2	3.1
3.7	0.646	6.1	2.9
3.8	0.628	8.1	4.0
3.9	0.628	10.6	4.9
4.0	0.607	10.0	5.2
4.1	0.503	12.9	5.4
4.2	0.512	12.6	6.4
4.3	0.499	14.2	6.6
4.4	0.496	16.8	7.4
4.5	0.482	17.1	8.2
4.6	0.49	21.8	11.1
4.7	0.458	21.7	13.3
4.8	0.474	22.4	11.8
4.9	0.442	25.8	14.0
5.0	0.445	27.1	14.2
5.1	0.331	33.7	16.0
5.2	0.324	31.5	17.8
5.3	0.343	36.5	20.7
5.4	0.318	39.6	20.8
5.5	0.327	40.0	22.8
5.6	0.329	39.2	23.4
5.7	0.333	46.4	26.2
5.8	0.292	48.7	28.0
5.9	0.301	46.5	25.7
6.0	0.305	50.3	30.5
6.1	0.201	54.4	31.3
6.2	0.215	58.0	36.7
6.3	0.216	56.0	35.3
6.4	0.205	58.7	36.9
6.5	0.222	61.8	39.8
6.6	0.213	57.5	36.0
6.7	0.207	59.9	36.7
6.8	0.2	59.2	37.1
6.9	0.201	68.1	42.7
7.0	0.202	65.0	45.1
7.1	0.132	68.0	46.8
7.2	0.148	65.9	43.9
7.3	0.157	65.7	47.2
7.4	0.154	66.9	50.0
7.5	0.15	70.0	50.1
7.6	0.14	68.5	46.5
7.7	0.144	71.0	48.5
7.8	0.149	72.5	50.9
7.9	0.146	69.8	50.2
8.0	0.146	71.7	51.7
8.1	0.097	73.4	55.7
8.2	0.104	72.7	52.5
8.3	0.106	73.5	54.6
8.4	0.108	71.7	51.9
8.5	0.117	73.1	50.2
8.6	0.118	70.1	48.1
8.7	0.124	74.9	55.4
8.8	0.107	76.6	54.6
8.9	0.107	77.6	54.5
9.0	0.128	75.6	54.1
9.1	0.072	80.9	59.5
9.2	0.08	79.6	59.1
9.3	0.092	76.2	57.8
9.4	0.09	77.8	56.0
9.5	0.095	79.5	56.5
9.6	0.087	78.7	60.0
9.7	0.106	75.8	55.1
9.8	0.109	79.2	60.4
9.9	0.098	76.9	55.4
10.0	0.103	76.9	58.4
10.1	0.065	81.4	63.3
10.2	0.065	78.7	59.5
10.3	0.086	78.0	60.2
10.4	0.076	80.4	60.1
10.5	0.095	77.3	55.4
10.6	0.082	79.5	60.3
10.7	0.087	80.1	58.7
10.8	0.08	80.7	57.0
10.9	0.086	82.0	61.4
11.0	0.095	81.5	60.8
11.1	0.064	80.7	60.3
11.2	0.063	81.5	61.0
11.3	0.063	81.5	60.8
11.4	0.064	81.0	60.0
11.5	0.074	80.4	59.4
11.6	0.082	80.3	61.5
11.7	0.086	77.3	59.8
11.8	0.09	81.5	61.0
11.9	0.088	81.8	62.2
12.0	0.092	82.2	61.4
12.1	0.05	84.3	64.4
12.2	0.054	79.7	63.6
12.3	0.063	80.8	58.9
12.4	0.072	79.7	60.3
12.5	0.069	81.4	61.8
12.6	0.073	80.1	62.8
12.7	0.078	79.9	62.5
12.8	0.087	82.6	62.8
12.9	0.064	84.1	62.4
13.0	0.085	82.3	62.9
13.1	0.053	86.4	68.1
13.2	0.058	84.2	65.6
13.3	0.057	83.9	65.9
13.4	0.052	85.3	67.8
13.5	0.065	79.2	61.2
13.6	0.068	81.6	63.8
13.7	0.071	85.0	65.5
13.8	0.068	84.1	64.9
13.9	0.07	82.0	64.9
14.0	0.074	84.6	64.5
14.1	0.04	85.7	66.5
14.2	0.052	84.4	66.3
14.3	0.063	82.6	62.4
14.4	0.059	86.6	67.7
14.5	0.063	82.8	63.4
14.6	0.056	78.9	63.5
14.7	0.062	83.6	63.2
14.8	0.07	81.4	63.1
14.9	0.061	85.6	65.2
15.0	0.066	84.2	64.5
15.1	0.046	84.0	66.8
15.2	0.046	85.2	67.4
15.3	0.05	83.5	64.1
15.4	0.053	83.3	65.0
15.5	0.061	84.8	67.3
15.6	0.057	83.8	66.2
15.7	0.063	80.7	64.5
15.8	0.065	82.4	64.8
15.9	0.063	86.3	69.8
16.0	0.072	82.3	65.9
16.1	0.042	85.7	68.1
16.2	0.049	85.6	68.5
16.3	0.046	86.9	65.8
16.4	0.051	86.3	67.2
16.5	0.065	83.9	68.6
16.6	0.06	87.0	70.6
16.7	0.051	84.5	68.2
16.8	0.065	86.1	67.1
16.9	0.057	86.2	69.0
17.0	0.056	85.3	67.9
17.1	0.043	86.8	68.5
17.2	0.046	86.6	66.1
17.3	0.053	86.9	68.0
17.4	0.049	87.3	68.9
17.5	0.044	88.2	69.1
17.6	0.062	83.6	66.5
17.7	0.052	84.3	69.2
17.8	0.056	86.6	67.7
17.9	0.058	86.0	67.6
18.0	0.056	85.6	69.3
18.1	0.042	87.1	71.3
18.2	0.041	85.4	68.2
18.3	0.046	84.7	68.3
18.4	0.049	83.7	69.4
18.5	0.046	85.4	68.4
18.6	0.05	85.1	72.6
18.7	0.046	85.6	68.7
18.8	0.066	83.8	66.8
18.9	0.056	84.9	69.5
19.0	0.065	84.6	67.6
19.1	0.039	87.2	67.9
19.2	0.041	86.4	67.4
19.3	0.051	84.0	66.1
19.4	0.045	86.4	68.3
19.5	0.05	85.5	69.3
19.6	0.054	85.0	69.0
19.7	0.055	87.0	69.4
19.8	0.055	85.9	69.9
19.9	0.062	86.4	67.6
20.0	0.059	86.5	67.5
20.1	0.042	88.1	69.0
20.2	0.042	86.1	70.0
20.3	0.038	86.2	68.0
20.4	0.052	87.7	69.3
20.5	0.051	86.3	68.0
20.6	0.05	85.9	68.7
20.7	0.057	85.6	64.3
20.8	0.053	88.8	71.1
20.9	0.063	86.7	67.0
21.0	0.055	87.2	69.8
21.1	0.041	88.3	70.9
21.2	0.04	87.6	70.7
21.3	0.043	85.9	66.3
21.4	0.046	86.8	70.2
21.5	0.055	86.6	69.0
21.6	0.051	86.8	69.6
21.7	0.049	86.5	69.7
21.8	0.057	85.8	70.8
21.9	0.062	84.9	66.9
22.0	0.063	84.4	70.0
22.1	0.04	85.8	69.0
22.2	0.047	86.2	69.7
22.3	0.038	88.0	71.1
22.4	0.046	87.6	68.9
22.5	0.054	87.9	67.2
22.6	0.054	84.6	67.6
22.7	0.046	87.5	68.6
22.8	0.051	86.3	66.8
22.9	0.056	87.9	70.7
23.0	0.047	88.2	70.8
23.1	0.04	87.1	72.2
23.2	0.041	84.9	66.8
23.3	0.045	88.0	69.9
23.4	0.054	86.9	69.3
23.5	0.049	86.7	68.4
23.6	0.049	84.4	68.8
23.7	0.058	84.5	70.2
23.8	0.053	86.5	69.8
23.9	0.049	88.8	70.7
24.0	0.044	90.3	70.0
24.1	0.036	88.5	68.9
24.2	0.045	85.8	70.9
24.3	0.043	88.0	69.6
24.4	0.046	86.4	69.5
24.5	0.046	88.0	71.0
24.6	0.045	87.4	71.6
24.7	0.046	86.7	70.9
24.8	0.051	86.8	68.8
24.9	0.065	85.2	68.3
25.0	0.053	87.9	69.8
25.1	0.038	88.4	70.8
25.2	0.043	87.8	69.4
25.3	0.048	85.8	67.5
25.4	0.042	85.5	70.6
25.5	0.043	87.1	71.5
25.6	0.055	85.8	70.1
25.7	0.048	86.2	69.6
25.8	0.048	87.0	71.3
25.9	0.058	84.7	68.3
26.0	0.054	86.0	68.4
26.1	0.039	86.9	69.1
26.2	0.033	88.0	70.2
26.3	0.042	87.1	69.7
26.4	0.046	85.6	69.7
26.5	0.037	85.3	71.6
26.6	0.041	88.6	69.5
26.7	0.051	89.6	70.2
26.8	0.051	86.7	71.0
26.9	0.05	84.9	70.9
27.0	0.056	86.0	70.0
27.1	0.031	88.7	71.0
27.2	0.036	86.3	68.8
27.3	0.038	87.7	71.3
27.4	0.043	84.4	68.4
27.5	0.038	86.0	69.1
27.6	0.045	86.3	71.5
27.7	0.053	84.5	67.2
27.8	0.056	87.1	68.6
27.9	0.055	84.4	68.4
28.0	0.058	86.3	67.6
28.1	0.036	88.7	69.4
28.2	0.044	87.5	69.8
28.3	0.038	88.4	72.0
28.4	0.047	85.6	69.2
28.5	0.05	87.7	70.7
28.6	0.045	84.9	69.7
28.7	0.043	87.1	70.9
28.8	0.046	87.1	70.2
28.9	0.061	83.0	69.3
29.0	0.052	86.3	71.1
29.1	0.034	88.5	70.0
29.2	0.039	87.1	69.8
29.3	0.037	89.6	71.0
29.4	0.04	86.3	67.8
29.5	0.037	86.0	67.9
29.6	0.052	85.4	69.1
29.7	0.061	87.0	70.5
29.8	0.058	87.9	72.0
29.9	0.054	88.6	73.8
30.0	0.046	88.2	70.4
30.1	0.032	91.3	72.0
30.2	0.037	87.8	71.3
30.3	0.038	86.4	69.8
30.4	0.043	85.3	68.3
30.5	0.047	85.6	70.0
30.6	0.048	85.4	71.3
30.7	0.04	88.1	70.2
